from an April 1, 98 savegame:

Apr  3 1998 12:55:41|  0 send o 0 dumpspellcastcounters

Qor:
----
1: darkness, attempts:,5391, casts:,4066, success rate:,75, attempts at players:,0, rate:,0, average spellpower:,-5
1: unholy weapon, attempts:,824, casts:,554, success rate:,67, attempts at players:,0, rate:,0, average spellpower:,50
1: unholy resolve, attempts:,1179, casts:,765, success rate:,64, attempts at players:,0, rate:,0, average spellpower:,44
2: Kara'hol's curse, attempts:,1688, casts:,1775, success rate:,105, attempts at players:,0, rate:,0, average spellpower:,58
2: detect good, attempts:,602, casts:,389, success rate:,64, attempts at players:,0, rate:,0, average spellpower:,37
2: acid touch, attempts:,5899, casts:,0, success rate:,0, attempts at players:,1091, rate:,18, average spellpower:,0
3: enfeeble, attempts:,4762, casts:,3400, success rate:,71, attempts at players:,57, rate:,1, average spellpower:,-28
3: fade, attempts:,890, casts:,637, success rate:,71, attempts at players:,0, rate:,0, average spellpower:,56
3: hold, attempts:,5004, casts:,4021, success rate:,80, attempts at players:,940, rate:,18, average spellpower:,3
3: animate, attempts:,147, casts:,83, success rate:,56, attempts at players:,0, rate:,0, average spellpower:,54
4: defile, attempts:,275, casts:,178, success rate:,64, attempts at players:,0, rate:,0, average spellpower:,53
4: curse weapon, attempts:,0, casts:,0, success rate:,0, attempts at players:,0, rate:,0, average spellpower:,0
4: poison fog, attempts:,139, casts:,95, success rate:,68, attempts at players:,0, rate:,0, average spellpower:,49
4: swap, attempts:,265, casts:,195, success rate:,73, attempts at players:,265, rate:,100, average spellpower:,52
4: shadow rift, attempts:,0, casts:,0, success rate:,0, attempts at players:,0, rate:,0, average spellpower:,0
4: Shal'illebane, attempts:,471, casts:,326, success rate:,69, attempts at players:,0, rate:,0, average spellpower:,56
4: vampiric touch, attempts:,771, casts:,0, success rate:,0, attempts at players:,117, rate:,15, average spellpower:,0
5: blind, attempts:,535, casts:,414, success rate:,77, attempts at players:,139, rate:,25, average spellpower:,69
5: death link, attempts:,105, casts:,88, success rate:,83, attempts at players:,0, rate:,0, average spellpower:,87
5: invisibility, attempts:,637, casts:,445, success rate:,69, attempts at players:,0, rate:,0, average spellpower:,54
5: nodeburst, attempts:,1, casts:,45, success rate:,4500, attempts at players:,0, rate:,0, average spellpower:,54
5: blood inheritance, attempts:,0, casts:,0, success rate:,0, attempts at players:,0, rate:,0, average spellpower:,0
6: gaze of the basilisk, attempts:,0, casts:,0, success rate:,0, attempts at players:,0, rate:,0, average spellpower:,0

Shal'ille:
----------
1: holy weapon, attempts:,1037, casts:,559, success rate:,53, attempts at players:,0, rate:,0, average spellpower:,35
1: minor heal, attempts:,22016, casts:,14903, success rate:,67, attempts at players:,22016, rate:,100, average spellpower:,7
2: create food, attempts:,2077, casts:,1434, success rate:,69, attempts at players:,0, rate:,0, average spellpower:,60
2: cure poison, attempts:,652, casts:,407, success rate:,62, attempts at players:,652, rate:,100, average spellpower:,43
2: holy symbol, attempts:,990, casts:,674, success rate:,68, attempts at players:,0, rate:,0, average spellpower:,50
2: remove curse, attempts:,1156, casts:,741, success rate:,64, attempts at players:,1156, rate:,100, average spellpower:,47
2: holy touch, attempts:,576, casts:,266, success rate:,46, attempts at players:,287, rate:,49, average spellpower:,0
2: detect evil, attempts:,84, casts:,135, success rate:,160, attempts at players:,0, rate:,0, average spellpower:,42
3: holy resolve, attempts:,1026, casts:,769, success rate:,74, attempts at players:,0, rate:,0, average spellpower:,64
3: cure disease, attempts:,955, casts:,629, success rate:,65, attempts at players:,955, rate:,100, average spellpower:,44
3: identify, attempts:,285, casts:,213, success rate:,74, attempts at players:,0, rate:,0, average spellpower:,64
3: rescue, attempts:,4884, casts:,3751, success rate:,76, attempts at players:,0, rate:,0, average spellpower:,-3
4: forces of light, attempts:,3280, casts:,2615, success rate:,79, attempts at players:,0, rate:,0, average spellpower:,-25
4: hospice, attempts:,5963, casts:,4659, success rate:,78, attempts at players:,5963, rate:,100, average spellpower:,8
4: mark of dishonor, attempts:,17, casts:,11, success rate:,64, attempts at players:,17, rate:,100, average spellpower:,57
4: spirit hammer, attempts:,53, casts:,37, success rate:,69, attempts at players:,0, rate:,0, average spellpower:,80
4: truce, attempts:,3673, casts:,2978, success rate:,81, attempts at players:,0, rate:,0, average spellpower:,-17
4: Qorbane, attempts:,190, casts:,134, success rate:,70, attempts at players:,0, rate:,0, average spellpower:,55
5: final rites, attempts:,5158, casts:,4058, success rate:,78, attempts at players:,0, rate:,0, average spellpower:,11
5: major heal, attempts:,1779, casts:,1326, success rate:,74, attempts at players:,1779, rate:,100, average spellpower:,62
5: purify, attempts:,2884, casts:,2364, success rate:,81, attempts at players:,2884, rate:,100, average spellpower:,-33
5: reveal, attempts:,338, casts:,218, success rate:,64, attempts at players:,0, rate:,0, average spellpower:,56
5: umbrella, attempts:,674, casts:,559, success rate:,82, attempts at players:,0, rate:,0, average spellpower:,73
6: portal of life, attempts:,34, casts:,28, success rate:,82, attempts at players:,0, rate:,0, average spellpower:,86
6: bond, attempts:,14, casts:,10, success rate:,71, attempts at players:,0, rate:,0, average spellpower:,52

Faren:
------
1: light, attempts:,6729, casts:,4497, success rate:,66, attempts at players:,0, rate:,0, average spellpower:,-12
1: zap, attempts:,4985, casts:,0, success rate:,0, attempts at players:,171, rate:,3, average spellpower:,0
2: resist cold, attempts:,1647, casts:,1062, success rate:,64, attempts at players:,0, rate:,0, average spellpower:,42
2: winds, attempts:,4199, casts:,2970, success rate:,70, attempts at players:,0, rate:,0, average spellpower:,-32
