JealousGeneral	LIBRES_MOOD_NOT_BAD		~kJonas says, "I've been researching the old Konima legends.  You know the stories of the great Konima, don't you?"
JealousGeneral		konima	~kJonas says, "Konima was the greatest hero known to man.  His war party led a vicious assault on the Orc caves beyond the Western Twisted Forest.  Sixty warriors went in those caves, none came back."
JealousGeneral		caves	~kJonas says, "Some say Konima still rages a war deep in the bowels of those caves.  Others say Shal'ille still cries for the lost warrior.  Either way, he saved humankind from the foul orcs."
DarkWizard	LIBRES_MOOD_NOT_GOOD		~kMaleval says, "That old wizard Alzahakar believes that the Tokens have great power.  Reunite the tokens.  Ha!  He and his followers are on a fools errand."
FiveCouncilor			~kEsseldi says, "Jonas D'Accor knows more than anybody about the old legends of Konima."
FiveCouncilor			~kEsseldi says, "History claims that the ancient Empire used to trade with us through the Nexus near Castle Victoria. The Nexus was destroyed centuries ago. Now only trolls guard the stones that once marked the gateway."
TwoCouncilor			~kBei Naq says, "Wealth of coin or token should not be brought together in a lump in your home. There are better places to hoard your power."
Heretic			~kMiriana sings, "~IOh, at a time not night, not day, when the stones stand up and dance and play, with wicked grins of the hardest gray, gods take revenge on those who slay.~I"
ShalillePriestess			~kPriestess Xiana says, "Legend has it that the gods martyred themselves out in the Holy Land of Trolls when the Nexus collapsed hundreds of years ago."
JasperElder			~kAfiera D'xor says, "Those councilors are trying to reopen the ancient Nexus with the tokens. I'm not so sure that's a good idea. Who knows what will happen when those tokens are brought together? They ought to be ready to call the attention of the gods when that happens."
