Izzio		Necromancers	~kIzzio says, "Well folk are folk no matter who they worship."
Izzio		Hunters	~kIzzio says, "It's not my place to make judgements on anyone."
Izzio		Necromancer amulet	~kIzzio smiles broadly, "I bet that would fetch a pretty penny."
Izzio		sword of the hunt	~kIzzio says, "I can respect the owner of one of those."
PrincessLiege		necromancers	~kPrincess Kateriina says, "Many have told me that they indeed walk the land.  I think we need to find out where and why?"
PrincessLiege		hunters	~kPrincess Kateriina says, "If indeed the necromancers are out there, let us also hope that the hunters are there as well."
PrincessLiege		hunters	~kPrincess Kateriina says, "The story says that Kara'set was the first hunter of this kind. The story also relates that she wielded a magical sword which was taken by Venya'cyr."
PrincessLiege		necromancer amulet	~kPrincess Kateriina says, "This hard evidence would surely prove there is more to the old story than I originally thought.  Bring me one of these pendants."
PrincessLiege		sword of the hunt	~kPrincess Kateriina says, "I have heard that their swords contain magical properties particularly potent against those with black souls."
PrincessLiege		necromancer amulet	~kPrincess Kateriina says, "Bring me one of these pendants.  It is vital that we have a chance to study such an artifact."
PrincessLiege		Tendrath	~kPrincess Kateriina says, "He is the old mage who caused the city of Brax to be swallowed by the earth.  He also forged the hunter swords.  A sad tale is his."
PrincessLiege		lich	~kPrincess Kateriina says, "The evil forces of the Urn transformed Venya'cyr into a being called the Lich.  The legend says that the Lich can not be killed."
OneCouncilor		lich	~kAlzahakar says, "The lich is the transformed soul of the ancient queen of Brax.  Her name was Venya'cyr.  She was tempted by these ancient forces.  They used her own noble desires to corrupt her."
OneCouncilor		lich	~kAlzahakar says, "I believe that Venya'cyr can never die.  That is the curse.  The more she uses these ancient powers the less of the noble queen survives.  Perhaps by now she is complete in her vileness."
OneCouncilor		Hunter	~kAlzahakar says, "They are the children of Tendrath the mage.  Their swords give them a great power to wield, but it also demands a sacrifice which might seem brutal to some."
OneCouncilor		hunter 	~kAlzahakar says, "The hunter has sworn eternal vengeance against the necromancers and all those who take the lives of the innocent.  To know that the hunters are on your trail is to know fear."
OneCouncilor		Necromancer amulet	~kAlzahakar says, "The Necromancer amulet is worn by all who directly serve the Lich.  They are a mouth with which the Lich can feed.  All those who die by the hand of a necromancer feed the hunger of the Lich."
OneCouncilor		sword of the hunt	~kAlzahakar says, "Tendrath forged the magical swords to slay the Lich.  The swords were lost to the Lich when the bravest warriors, sent to destroy Venya'cyr, were themselves undone by her power.  The swords are potent against the necromancers but can not kill the Lich."
TwoCouncilor		lich	~kBei Naq says, "Do I look like a historian to you? I am a simple man, do not ask me about such things."
TwoCouncilor		Hunter	~kBei Naq says, "I know nothing of these landless zealots."
TwoCouncilor		necromancer amulet	~kBei Naq says, "I would very much like to acquire one of these pendants.  I am sure they would be priceless."
TwoCouncilor		sword of the hunt	~kBei Naq says, "I would love to get my hands on one of those swords.  It would certainly be worth a fortune if not priceless."
ThreeCouncilor		lich	~kCylill says, "There was supposedly a fortress built with some ancient magic.  The owner of that fortress was the Lich.  Supposedly the castle had a maze that prevented even the largest forces from entering her realm.  Of course the fear of the Urn probably kept most folk from trying."
ThreeCouncilor		Urn	~kCylill says, "The Urn was the original source of the Lich's power. It was through the forces of the Urn that Queen Venya'cyr was corrupted."
